PARP1,HMGCR
ARRB1,AKT2
HSP90AB1,AKT2
CAV1,AKT2
BRCA1,AKT2
EZH2,AKT2
TRIB3,AKT2
HSP90AB1,TNRC6A
HSP90AB1,ERBB2
EGFR,ERBB2
HSPB1,ERBB2
ITGB4,ERBB2
ETV1,ERBB2
HSP90AB1,IKBKG
ANXA1,IKBKG
MAP3K7,IKBKG
SQSTM1,IKBKG
BIRC2,IKBKG
CASP8,IKBKG
CASP6,IKBKG
RB1,ATF2
BRCA1,ATF2
NFE2L2,SLC3A2
RELA,SLC3A2
HSP90AB1,PPARD
RELA,PPARD
GABP,UBQLN1
YWHAB,SYNPO
BCL2L11,BAX
BID,BAX
BAK,BAX
BCL2L1,BAX
BCL2,BAX
MCL1,BAX
EGFR,EGFR
ERBB2,EGFR
ERBB2,ETV1
MAP3K7,MAP3K7
TGFBR1,MAP3K7
TGFB1,TGFBR1
TGFBR2,TGFBR1
YWHAB,TGFBR1
CAV1,TGFBR1
MAP3K7,SMAD4
GADD45B,MAP3K4
PPARG,INSR
PPARG,A2M
PPARG,PAX6
NR3C1,CYP3A4
NR3C1,NEDD9
REL,GADD45B
TP53,GADD45B
E2F1,GADD45B
MYC,GADD45B
NCOA4,PPARG
AKT2,PPARG
SMAD3,PPARG
AR,NR3C1
DAXX,NR3C1
PPARG,SMAD3
DAXX,AR
CASP8,AR
APAF1,CASP9
CASP3,CASP9
AKT2,CASP9
BIRC5,CASP9
BCL2L1,CASP9
XIAP,CASP9
BIRC2,CASP9
CYC,APAF1
CASP3,APAF1
BCL2,BAD
YWHAB,BAD
BCL2L1,BAD
BRCA1,BCL2
TP53,BCL2
BAD,BCL2
BCL2L11,BCL2
PMAIP1,BCL2
CASP3,BID
TP53,BID
CASP9,BID
CASP10,BID
STAT1,BID
CASP8,BID
HIF1A,BID
HIF1A,MCL1
CAV1,MCL1
BCL2L11,MCL1
PMAIP1,MCL1
BCL2,CASP8
RXRA,CASP8
FADD,CASP8
CASP3,CASP8
STAT1,CASP8
CASP10,CASP8
SQSTM1,CASP8
BIRC2,CASP8
BCL2,BAK
BCL2L11,BAK
TP53,BAK
BAX,BAK
MCL1,BAK
BCL2A1,BAK
BCL2,BCL2L11
YWHAB,BCL2L11
BCL2L11,BCL2A1
CASP8,CASP2
STAT1,CASP2
AKT2,XIAP
STAT5A,XIAP
